,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Notes
10,105589,SHADE ORANGE/EJ,GSC,O,-,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
11,104528,BI-372,STAHL Singapore,O,COMPOUND,"EFF art: Deco/Lux, Classic TT",25,25, 25 ,2023-03-30::25.0, -   , 16 , 8 , 20 , 23 , 28 , 0.70 ,2.8, 1.78 , -   , -   ,,, 8 , 4 ,12 ,8 ,Will purchase on the next chemical meeting to reach the stock-set
12,104797,BIANCO CONTEX ULTRA DOS,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 15 , -   ,, -   , -   ,4.8, -   , 72 , 0.4 ,,, 15 , -   ,0 ,(15),
13,105460,OXY FINE BIANCO RD,GSC,O,PIGMENT,GSC pigment,70,160," 14,880 ",2023-04-10::800.0|||2023-04-15::6560.0|||2023-04-10::1600.0|||2023-04-24::1600.0|||2023-05-08::4000.0|||NaT::320.0," 2,240 ", 964 ," 5,511 "," 2,726 "," 2,672 "," 2,906 ", 0.58 ,4.8, 3.28 ," 8,818 ", 55.1 ,,," 5,511 "," 2,444 ",440 ,"(2,627)",Air freight:320kg- ETA:24.03
14,104743,ISOLAC BIANCO,SAMIA,O,PIGMENT,-,70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
15,105513,ISOLAC BIANCO N LP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua ""SHADE WHITE""",70,10, -   ,-, 220 , 28 , 27 , 13 , 15 , 9 , 9.19 ,4.8, 9.19 , -   , -   ,,, 27 , 1 ,247 ,221 ,
16,105590,SHADE WHITE/EJ,GSC,O,-,-,70,10, -   ,-, -   , 7 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,7 ,7 ,
17,104667,BINDER M-SM 118,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
18,104778,BINDEX SR 150,GSC ITALY,O,-,-,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
19,104756,BRITEX BLACK,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-, 660 , 69 , 6 , 8 , 5 , 6 , 145.80 ,4.3, 145.80 , -   , -   ,,, 6 , 3 ,726 ,723 ,
20,104807,BLU CONTEX T,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
21,105473,OPERA BLU,GSC,O,PIGMENT,GSC pigment=>NCC doi ten thanh (OXY FINE NERO BLU CO),70,120, -   ,-, 840 , 86 , 271 , 121 , 114 , 111 , 3.42 ,4.8, 3.42 , 379 , 3.2 ,,, 271 , 124 ,802 ,655 ,Will purchase on the next chemical meeting to reach the stock-set
22,105185,OXY FINE NERO BLU CO,GSC,O,-,GSC pigment (tên moi cua opera blu),70,120, 720 ,2023-04-10::720.0, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
23,104531,BLUE DHL,RINO MASTROTTO GROUP S.P.A,O,COMPOUND,-,0,1, -   ,-, -   , 240 , -   , -   , 1 , -   , 240.00 ,2, 240.00 , -   , -   ,,, -   , -   ,240 ,240 ,
24,105017,SAMIANIL CB BLEU RP,SAMIA,O,-,-,70,1, -   ,-, 19 , 12 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,31 ,31 ,
25,104770,CONTEX BLUE MARINE,SAMIA,O,PIGMENT,xai het khong mua nua,70,60, -   ,-, 360 , 19 , 1 , 11 , 11 , 7 , 34.45 ,4.8, 34.45 , -   , -   ,,, 1 , -   ,379 ,378 ,
26,105459,OXY CAR OCEAN BLUE HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,200 ", 133 , 17 , 27 , 23 , 26 , 78.41 ,4.8, 78.41 , -   , -   ,,, 17 , 3 ,"1,330 ","1,316 ",
27,104534,BORDEAUX DHL,SYN-BIOS,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
28,104757,BRITEX BROWN,SAMIA,O,COMPOUND,pigment EFF water,70,30, -   ,-," 1,680 ", 111 , -   , 1 , 1 , -   ," 1,791.00 ",4.3," 1,791.00 ", -   , -   ,,, -   , -   ,"1,791 ","1,791 ",
29,104802,CONTEX BRUNO,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , 2 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 10 , 0.1 ,,, 2 , -   ,0 ,(2),
30,105467,OPERA BRUNO DL,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 3,300 ", 423 , 445 , 229 , 210 , 231 , 8.37 ,4.8, 8.37 , -   , -   ,,, 445 , 148 ,"3,575 ","3,278 ",
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, 5 , 0.1 ,,, 1 , -   ,0 ,(1),
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,640 ", 102 , 80 , 50 , 50 , 35 , 34.28 ,4.8, 34.28 , -   , -   ,,, 80 , 27 ,"2,715 ","2,662 ",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-10::480.0," 1,280 ", 431 , 600 , 282 , 271 , 354 , 2.85 ,4.8, 3.65 , 660 , 4.1 ,,, 600 , 242 ,"1,469 ","1,111 ",Will purchase on the next chemical meeting to reach the stock-set
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 9 , 3 , 1 , 2 , 10 , 4.50 ,4.3, 4.50 , 4 , 0.2 ,,, 3 , 1 ,8 ,6 ,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 75 , 14 , -   , 3 , 2 , 1 , 44.50 ,4.8, 44.50 , -   , -   ,,, -   , 1 ,88 ,89 ,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80.0, 90 , 28 , 6 , 9 , 8 , 13 , 14.75 ,4.8, 24.75 , -   , -   ,,, 6 , 8 ,110 ,112 ,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,6 ,6 ,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 93 , 23 , 22 , 23 , 23 , 18.39 ,4.8, 18.39 , -   , -   ,,, 23 , 13 ,410 ,400 ,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,9 ,9 ,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, 188 , -   , -   , 63 , 125 , -   ,1.504,2.5, 1.50 , -   , -   ,,, -   , -   ,188 ,188 ,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , -   ,, 4 ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,46 ,46 ,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 1,140 ", 449 , 806 , 597 , 655 , 983 , 1.97 ,2.5, 1.97 , 403 , 2.1 ,,, 806 , 542 ,"1,047 ",783 ,
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 8 , 1 , -   , 219.00 ,2.5, 219.00 , -   , -   ,,, 2 , -   ,219 ,217 ,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-," 1,540 ", 430 , 529 , 569 , 481 , 944 , 3.72 ,4.7, 3.72 , 529 , 4.8 ,,, 529 , 154 ,"1,816 ","1,441 ",Will purchase on the next chemical meeting to reach the stock-set
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.9,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 76 , 230 , 110 , 106 , 163 , 2.42 ,4.7, 6.59 , 874 , 7.3 ,,, 230 , 25 ,531 ,326 ,"When consume all of TOP 100M, will use Dull S Instead"
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-17::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10," 1,380 ",NaT::630.0|||2023-05-10::10.0|||NaT::740.0," 1,350 ", 215 , 383 , 307 , 321 , 389 , 4.09 ,4.8, 7.69 , -   , -   ,,, 383 , 231 ,"1,334 ","1,182 ",Check 500kg of compensate quality problem consigment (same as reurning back)
55,104939,AQUAFIX LUCID 555,GSC,O,-,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 , -   ," 1,913 "," 1,268 ", -   , 0.03 ,4.3, 0.03 , -   , -   ,,, -   , -   ,39 ,39 ,"From the meeting day (March 20th), consumtion is  2874. For now, the consumtion is reach to 4151 (March 23th)."
56,105150,AQ SYSTEM 555 LUX,GSC,O,COMPOUND,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-22::3840.0|||2023-05-08::3000.0, -   , 360 ," 2,950 ", 728 ," 1,456 "," 4,151 ", 0.12 ,4.3, 3.46 ," 2,360 ", 19.7 ,,," 2,950 "," 1,112 ",(752),"(2,590)",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,740 ",NaT::2200.0|||2023-03-26::1540.0, 660 , 433 ," 1,981 "," 1,538 "," 2,120 "," 2,082 ", 0.55 ,2.8, 2.44 , 792 , 7.2 ,,," 1,981 "," 2,112 ","(1,019)",(888),Shipment should be on time
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 440 ,2023-03-26::440.0, 55 , 107 , 295 , 169 , 184 , 317 , 0.55 ,2.8, 2.04 , 236 , 4.3 ,,, 295 , 75 ,87 ,(133),Shipment should be on time
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 207 , 47 , 13 , 16 , 33 , 35.04 ,4.8, 35.04 , -   , -   ,,, 47 , 2 ,"1,645 ","1,600 ",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,960 ", 260 , 631 , 291 , 250 , 513 , 6.69 ,4.8, 6.69 , -   , -   ,,, 631 , 129 ,"4,091 ","3,589 ",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 113 , 91 , 58 , 79 , 100 , 9.15 ,4.8, 9.15 , -   , -   ,,, 91 , 125 ,708 ,742 ,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 101 , 41 , 32 , 34 , 56 , 12.71 ,4.8, 12.71 , -   , -   ,,, 41 , 21 ,500 ,480 ,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 5,100 "," 1,469 "," 18,098 "," 16,892 "," 18,370 "," 23,122 ",0.362968284,2.5, 0.36 ," 38,006 ", 44.7 ,,," 18,098 "," 9,076 ","(2,507)","(11,529)",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   ,#DIV/0!,2.7,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,15 ,15 ,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, 100 ,2023-03-26::100.0, 25 , 55 , 71 , 46 , 43 , 25 , 1.13 ,2.8, 2.54 , 21 , 0.9 ,,, 71 , 20 ,60 ,9 ,Shipment should be on time
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 2,420 ", 361 ," 1,099 ", 834 , 912 , 648 , 2.53 ,4.8, 4.03 , 879 , 8.0 ,,," 1,099 ", 776 ,"2,005 ","1,682 ",Shipment should be on time
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 86,000 ",2023-04-02::18000.0|||2022-05-12::18000.0|||2023-05-08::8000.0|||2023-05-16::18000.0|||NaT::18000.0|||2023-03-22::3000.0|||2023-03-22::3000.0, -   , -   ," 17,281 "," 6,475 "," 7,789 "," 7,371 ", -   ,4.7, 4.98 , -   , -   ,,," 17,281 "," 4,073 ","(4,073)","(17,281)","Already received 6000kg by air freight, next shipment shuold be on time."
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-26::1920.0," 3,600 ", 414 ," 2,218 ", 865 , 730 ," 2,047 ", 1.81 ,4.3, 2.68 ," 3,549 ", 29.6 ,,," 2,218 ", 166 ,"3,848 ","1,796 ",Shipment should be on time
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 119,000 ",2023-04-10::2000.0|||2023-04-15::8000.0|||2023-04-10::10000.0|||2023-04-17::18000.0|||2023-04-22::5000.0|||2023-04-24::24000.0|||2023-04-24::9000.0|||2023-05-08::24000.0|||2023-05-08::6000.0|||NaT::6000.0|||NaT::7000.0," 2,000 "," 2,703 "," 34,532 "," 16,034 "," 16,813 "," 20,473 ", 0.14 ,4.7, 3.58 ," 37,985 ", 38.0 ,,," 34,532 "," 12,030 ","(7,327)","(29,829)","  1st shipment: ETD 24.03, ETA 28.03: 4000kgs
  2nd shipment: ETD 23.03, ETA 26.03: 3000kgs"
82,104932,BINDER W 212,GSC ITALY,O,-,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , 3 , -   ," 3,969 "," 4,174 ", 49 , 0.00 ,4.7, 0.00 , -   , -   ,,, -   , -   ,3 ,3 ,
83,105151,BINDER W 207,GSC ITALY,O,COMPOUND,ten moi BINDER W 212,80,1000," 47,000 ",2023-04-10::3000.0|||2023-04-22::3000.0|||2023-04-24::7000.0|||2023-04-24::11000.0|||2023-05-08::12000.0|||2023-05-08::6000.0|||NaT::5000.0," 2,000 ", 774 ," 10,897 ", 219 , 438 ," 4,913 ", 0.25 ,4.7, 4.57 ," 1,090 ", 1.1 ,,," 10,897 "," 3,852 ","(1,078)","(8,123)","  1st shipment: ETD 24.03, ETA 28.03: 2000kgs
  2nd shipment: ETD 23.03, ETA 26.03: 3000kgs"
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 34,000 ",2023-03-28::6000.0|||2023-05-10::11000.0|||NaT::7000.0|||NaT::10000.0, -   , 174 ," 5,492 "," 1,455 "," 1,861 "," 1,426 ", 0.03 ,4.8, 6.22 , -   , -   ,,," 5,492 "," 9,892 ","(9,718)","(5,318)",Shipment should be on time
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 94 , -   ,, -   , -   ,2.5, -   , 235 , 1.2 ,,, 94 , 44 ,(44),(94),
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 510 , 1 , 93 , 78 , 89 , 11.67 ,2.5, 11.67 , -   , -   ,,, 1 , -   ,910 ,909 ,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,380 ", 83 , 6 , 12 , 5 , 2 , 292.60 ,4.8, 292.60 , -   , -   ,,, 6 , -   ,"1,463 ","1,457 ",
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120," 1,440 ",2023-04-17::360.0|||2023-05-08::1080.0, 360 , 145 , 426 , 205 , 217 , 244 , 1.19 ,4.8, 4.57 , 85 , 0.7 ,,, 426 , 46 ,459 ,79 ,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 13 , 11 , 9 , 5 , 1 , 1.18 ,4.8, 1.18 , 40 , 4.0 ,,, 11 , -   ,13 ,2 ,
95,105594,SHADE LEMON/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, 30 ,2023-04-24::30.0, 30 , 6 , -   , -   ,, 6 ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,36 ,36 ,
96,104759,BRITEX LEMON ICE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
97,104588,LS-8296,STAHL Singapore,O,COMPOUND,-,23,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
98,105353,LS-64-296 ,STAHL Europe,O,COMPOUND,THUNDER,83,100, -   ,-, 100 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,
99,104891,LS-64-256,STAHL Singapore,O,COMPOUND,"EMU, FIS 1,VINTAGE, EFF WILD",25,100," 1,800 ",2023-03-26::1800.0, 200 , 205 , 979 , 555 , 649 ," 1,106 ", 0.41 ,2.8, 2.25 , 490 , 4.9 ,,, 979 , 212 ,193 ,(574),Will purchase on the next chemical meeting to reach the stock-set
